詞語,語氣類別
Apple,N/A
ATM ,指示
IP,N/A
LINE,N/A
VIP,N/A
一支,N/A
一份,N/A
一年,N/A
一次,N/A
一位,N/A
一步,N/A
一宗,N/A
一定,N/A
一起,N/A
一張,N/A
一筆,N/A
一點,N/A
人壽,N/A
入侵,N/A
入理,N/A
下載,N/A
千萬別,N/A
小時,N/A
工本,N/A
工作人員,假冒
已經,N/A
才能,N/A
不及,N/A
不再,N/A
不足,N/A
不法,N/A
不是,N/A
不要,N/A
不准,指示
不得,指示
不然,恐嚇
不想,N/A
不會,N/A
不會害你,求助
不騙你,求助
不靈,N/A
中心,N/A
中止,N/A
中獎,誘導?
中獎 ,誘餌
之前,N/A
什麼,N/A
今天,N/A
今日,N/A
內容,N/A
內部消息,誘導
內繳,N/A
公安局,假冒
分紅,N/A
分鐘,N/A
分鐘內,催促
切勿,指示
勿,指示
升級,N/A
手機,N/A
手續,N/A
手續費,N/A
支付平臺,假冒
支持,N/A
文件,N/A
方式,N/A
方案,N/A
日內,N/A
欠款,N/A
比特,N/A
付款,N/A
代為,N/A
以免,N/A
以便,N/A
以確,N/A
以續,N/A
出車,N/A
出事,N/A
出現,N/A
加入,N/A
加保,N/A
包裹,N/A
卡號,N/A
只有,N/A
只有你,求助
只要,N/A
只需,誘導
可免,N/A
可疑,N/A
可領,N/A
可選擇,N/A
外地,N/A
失效,N/A
失敗,N/A
巨額,誘導
平台,N/A
平安,N/A
必須,指示
未來,N/A
未明,N/A
未果,N/A
未繳,N/A
本人,N/A
本月,N/A
本行,N/A
本金,N/A
本案,N/A
正在,N/A
正確,N/A
犯罪,N/A
生效,N/A
生意,N/A
用以,N/A
申請,N/A
目前,N/A
立即,催促
立即 ,緊急
立刻,催促
交易,N/A
交保,N/A
任險,N/A
先借,N/A
先墊付,N/A
先繳,N/A
刑事警察,假冒
列為,N/A
名下,N/A
名字,N/A
名義,N/A
名額,誘導
名額有限,誘導
回報,誘導
回饋,誘導
因系統,N/A
地方法院,假冒
地址,N/A
多次,N/A
如果,N/A
如非,N/A
如需,N/A
存在,N/A
存款,N/A
安全,N/A
安全中心,假冒
年度,N/A
成功,N/A
成為,N/A
扣款,N/A
收入,N/A
收取,N/A
收屍,恐嚇
收益,誘導
有人,N/A
有誤,N/A
老客,N/A
自負,N/A
自動,N/A
行政執行署,假冒
行動,N/A
伯父,假冒
伺服器,N/A
住院,N/A
作為,N/A
你現,N/A
免費,誘導
判刑,恐嚇
別人,N/A
利用,N/A
利息,誘導
利潤,誘導
助您,N/A
即可,誘導
即刻,N/A
即將,N/A
否則,恐嚇?
否則 ,威脅
困難,N/A
完全,N/A
完成,N/A
完整,N/A
忍心,求助
快速,N/A
快遞,假冒
我來,N/A
我們將,N/A
我現,N/A
投入,N/A
投保,N/A
投無路,N/A
投資,N/A
投遞,N/A
折扣,N/A
更新,N/A
每月,N/A
每年,N/A
求求,求助
汽車,N/A
沒有,N/A
沒有人,求助
沒命,恐嚇
走投無路,求助
身分,N/A
身份,N/A
車禍,N/A
並繳,N/A
事故,N/A
享有,N/A
使用,N/A
依法,N/A
依照,指示
到期,N/A
刻不容緩,催促
協助,N/A
取消,N/A
受益人,N/A
受理,N/A
周轉,N/A
和解,N/A
官方,N/A
定存,N/A
尚未,N/A
幸運,N/A
延誤,N/A
所有,N/A
抽獎,N/A
拖延,N/A
拘捕,恐嚇
放棄,N/A
放款,N/A
明天,N/A
朋友,N/A
服務,N/A
服務費,N/A
法官,假冒
法律,N/A
法院,假冒?
法辦,恐嚇
注意,N/A
爸,假冒
物流,N/A
物流公司,假冒
直接,N/A
近期,N/A
返利,誘導
返還,誘導
金以,N/A
金獎勵,N/A
金融,N/A
金額,N/A
阿姨,假冒
非法,N/A
保持,指示
保留,N/A
保密,指示
保費,N/A
保障,誘導
保險,N/A
保險局,N/A
保險理,N/A
保額,N/A
保證,誘導
保證金 ,誘餌
信用,N/A
信用卡,N/A
孩子,N/A
客戶,N/A
客服,假冒
客服 ,假冒
客服中心,假冒
客服專線,假冒
建議,N/A
後果自負,恐嚇
後悔,誘導
急需,N/A
拜託,求助
指示,N/A
指定,N/A
按照,指示
政府,N/A
故障,N/A
查到,N/A
查封,恐嚇
洗錢,N/A
活動,誘導
流程,N/A
相信,N/A
相關,N/A
秒殺,催促
紀錄,N/A
紅包,誘導
要求,N/A
訂單,N/A
訂購,N/A
計畫,N/A
重大,N/A
重要,N/A
重新,N/A
限時,誘導
限期,N/A
限量,誘導
凍結,恐嚇?
員警,假冒?
家人,N/A
差額,N/A
恭喜,誘導
效力,N/A
旅遊,N/A
時間,N/A
核准,N/A
核對,N/A
案件,N/A
海外,N/A
海關,假冒
消息,N/A
涉及,N/A
涉嫌,N/A
病毒,N/A
租金,N/A
納保證,N/A
退回,N/A
退保,N/A
退款,N/A
退費,N/A
退還,N/A
配合,指示
配送,N/A
馬上,催促
高回報,誘導
高收益,誘導
高額,N/A
停用,N/A
停機,恐嚇?
偵查科,假冒
偵測,N/A
偵辦,N/A
勒令,恐嚇?
務必,指示
參加,N/A
唯一,N/A
商品,N/A
問題,N/A
啟用,N/A
寄送,N/A
密碼,N/A
將持續,N/A
將終,N/A
專員,假冒
專案,N/A
專線,N/A
帳戶 ,指示
帳號,N/A
強制,N/A
強制執行,恐嚇
推薦,N/A
救命,求助
救救我,求助
晚點,N/A
猜猜我是誰,假冒
現金,誘導
理將,N/A
理理,N/A
理賠,N/A
產生,N/A
異地,N/A
異常,N/A
終止,N/A
處理,N/A
規定,N/A
責任,N/A
軟體,N/A
透過,N/A
這是,N/A
這個,N/A
這筆,N/A
這邊,N/A
通知,N/A
通訊管理局,假冒?
通過,N/A
通緝,恐嚇
通緝 ,恐嚇
連結,N/A
部分,N/A
麻煩,N/A
單作,N/A
單將,N/A
單線聯繫,指示
報酬,N/A
報警,N/A
尊敬,N/A
提交,N/A
提高,N/A
提醒,N/A
提醒您,N/A
最近,N/A
最後機會,誘導
最新,N/A
期未,N/A
無法,N/A
無風險,誘導
無路可走,求助
無親無故,求助
登入,N/A
發布,N/A
發生,N/A
發現,N/A
發誓,求助
盜用,N/A
稅金,N/A
稅務局,假冒
稅款,N/A
程序,N/A
等待,N/A
結算,N/A
給你,N/A
訴訟,N/A
詐騙,N/A
貴賓,N/A
貸款,N/A
費以,N/A
費用,N/A
超商,N/A
進行,N/A
郵件,N/A
開口,N/A
項目,N/A
須先,N/A
傳票,N/A
僅需,誘導
匯入,N/A
匯款,N/A
填寫,N/A
媽,假冒
意外,N/A
感謝,N/A
損失,N/A
準備,N/A
當天,N/A
禁止,指示
經查,N/A
經紀,N/A
經理,假冒
經濟,N/A
萬元,N/A
號碼,N/A
補助,誘導
補貼,誘導
補辦,N/A
補繳,N/A
解決,N/A
解除,N/A
解鎖,N/A
資金,N/A
資格,N/A
資訊,N/A
資訊以,N/A
逾期,N/A
遇到,N/A
運費,N/A
過期,N/A
違約金,N/A
零風險,N/A
電子,N/A
電腦,N/A
電話,N/A
團隊,N/A
境外,N/A
墊付,N/A
對方,N/A
盡快,N/A
監控,N/A
監管 ,恐嚇
福利,誘導
管理員,假冒
