詞語,語氣類別
Apple,
ATM ,指示
IP,
LINE,
VIP,
一支,
一份,
一年,
一次,
一位,
一步,
一宗,
一定,
一起,
一張,
一筆,
一點,
人壽,
入侵,
入理,
下載,
千萬別,
小時,
工本,
工作人員,假冒
已經,
才能,
不及,
不再,
不足,
不法,
不是,
不要,
不准,指示
不得,指示
不然,恐嚇
不想,
不會,
不會害你,求助
不騙你,求助
不靈,
中心,
中止,
中獎,誘導?
中獎 ,誘餌
之前,
什麼,
今天,
今日,
內容,
內部消息,誘導
內繳,
公安局,假冒
分紅,
分鐘,
分鐘內,催促
切勿,指示
勿,指示
升級,
手機,
手續,
手續費,
支付平臺,假冒
支持,
文件,
方式,
方案,
日內,
欠款,
比特,
付款,
代為,
以免,
以便,
以確,
以續,
出車,
出事,
出現,
加入,
加保,
包裹,
卡號,
只有,
只有你,求助
只要,
只需,誘導
可免,
可疑,
可領,
可選擇,
外地,
失效,
失敗,
巨額,誘導
平台,
平安,
必須,指示
未來,
未明,
未果,
未繳,
本人,
本月,
本行,
本金,
本案,
正在,
正確,
犯罪,
生效,
生意,
用以,
申請,
目前,
立即,催促
立即 ,緊急
立刻,催促
交易,
交保,
任險,
先借,
先墊付,
先繳,
刑事警察,假冒
列為,
名下,
名字,
名義,
名額,誘導
名額有限,誘導
回報,誘導
回饋,誘導
因系統,
地方法院,假冒
地址,
多次,
如果,
如非,
如需,
存在,
存款,
安全,
安全中心,假冒
年度,
成功,
成為,
扣款,
收入,
收取,
收屍,恐嚇
收益,誘導
有人,
有誤,
老客,
自負,
自動,
行政執行署,假冒
行動,
伯父,假冒
伺服器,
住院,
作為,
你現,
免費,誘導
判刑,恐嚇
別人,
利用,
利息,誘導
利潤,誘導
助您,
即可,誘導
即刻,
即將,
否則,恐嚇?
否則 ,威脅
困難,
完全,
完成,
完整,
忍心,求助
快速,
快遞,假冒
我來,
我們將,
我現,
投入,
投保,
投無路,
投資,
投遞,
折扣,
更新,
每月,
每年,
求求,求助
汽車,
沒有,
沒有人,求助
沒命,恐嚇
走投無路,求助
身分,
身份,
車禍,
並繳,
事故,
享有,
使用,
依法,
依照,指示
到期,
刻不容緩,催促
協助,
取消,
受益人,
受理,
周轉,
和解,
官方,
定存,
尚未,
幸運,
延誤,
所有,
抽獎,
拖延,
拘捕,恐嚇
放棄,
放款,
明天,
朋友,
服務,
服務費,
法官,假冒
法律,
法院,假冒?
法辦,恐嚇
注意,
爸,假冒
物流,
物流公司,假冒
直接,
近期,
返利,誘導
返還,誘導
金以,
金獎勵,
金融,
金額,
阿姨,假冒
非法,
保持,指示
保留,
保密,指示
保費,
保障,誘導
保險,
保險局,
保險理,
保額,
保證,誘導
