詞語,出現次數,語氣分類
支付,60,其他/未分類
保單,53,其他/未分類
提供,45,其他/未分類
立即,40,催促
帳戶,39,指示
需要,38,其他/未分類
保險,37,其他/未分類
公司,24,其他/未分類
保費,23,其他/未分類
通知,23,其他/未分類
XX,22,其他/未分類
投保,21,其他/未分類
領取,21,其他/未分類
辦理,21,其他/未分類
銀行,19,其他/未分類
才能,19,其他/未分類
資料,18,其他/未分類
客服,17,假冒正規
避免,16,其他/未分類
一筆,16,其他/未分類
確認,16,其他/未分類
否則,15,威脅
安全,15,其他/未分類
涉及,14,其他/未分類
可以,13,其他/未分類
以免,13,其他/未分類
保障,13,其他/未分類
費用,13,其他/未分類
客戶,12,其他/未分類
真的,12,其他/未分類
繳納,12,其他/未分類
申請,12,其他/未分類
發現,12,其他/未分類
活動,11,其他/未分類
000,11,其他/未分類
系統,11,其他/未分類
調查,10,其他/未分類
身分,10,其他/未分類
完成,10,其他/未分類
資金,10,其他/未分類
聯絡,10,其他/未分類
保證,10,其他/未分類
手續費,10,其他/未分類
帳號,10,其他/未分類
資訊以,9,其他/未分類
扣款,9,其他/未分類
萬元,9,其他/未分類
中心,9,其他/未分類
交易,9,其他/未分類
訂單,9,其他/未分類
退款,9,其他/未分類
資訊,9,其他/未分類
盜用,9,其他/未分類
重新,9,其他/未分類
不然,9,其他/未分類
指示,9,其他/未分類
理賠,9,其他/未分類
配合,9,其他/未分類
異常,9,其他/未分類
保證金,9,誘導
未繳,9,其他/未分類
無法,9,其他/未分類
付款,9,其他/未分類
收益,8,其他/未分類
包裹,8,其他/未分類
信用卡,8,其他/未分類
50,8,其他/未分類
處理,8,其他/未分類
更新,8,其他/未分類
所有,8,其他/未分類
登入,7,其他/未分類
獲得,7,其他/未分類
資格,7,其他/未分類
這是,7,其他/未分類
取消,7,其他/未分類
醫療,7,其他/未分類
繳清,7,其他/未分類
電話,7,其他/未分類
專案,7,其他/未分類
提醒,7,其他/未分類
操作,7,其他/未分類
現金,7,其他/未分類
問題,7,其他/未分類
罰款,7,其他/未分類
協助,7,其他/未分類
獎品,7,其他/未分類
投資,7,其他/未分類
受益人,7,其他/未分類
10,7,其他/未分類
即可,6,其他/未分類
驗證,6,其他/未分類
一次,6,其他/未分類
升級,6,其他/未分類
凍結,6,其他/未分類
身份,6,其他/未分類
犯罪,6,其他/未分類
中獎,6,誘導
