帳號,帳號_出現次數,時間_是否凌晨,內容_文字長度,內容_是否含詐騙詞,是否主文,來源_PTT-Gossiping-回文,來源_PTT-Insurance-回文,來源_PTT-Lifeismoney-回文,來源_PTT-Stock-回文,來源_PTT-WomenTalk-回文,內容_tfidf_00,內容_tfidf_01,內容_tfidf_02,內容_tfidf_03,內容_tfidf_04,內容_tfidf_05,內容_tfidf_06,內容_tfidf_07,內容_tfidf_08,內容_tfidf_09,內容_tfidf_10,內容_tfidf_101,內容_tfidf_106,內容_tfidf_11,內容_tfidf_111,內容_tfidf_114,內容_tfidf_116,內容_tfidf_118,內容_tfidf_12,內容_tfidf_125,內容_tfidf_13,內容_tfidf_136,內容_tfidf_137,內容_tfidf_138,內容_tfidf_139,內容_tfidf_14,內容_tfidf_140,內容_tfidf_15,內容_tfidf_16,內容_tfidf_17,內容_tfidf_18,內容_tfidf_180,內容_tfidf_19,內容_tfidf_20,內容_tfidf_200,內容_tfidf_21,內容_tfidf_215,內容_tfidf_216,內容_tfidf_217,內容_tfidf_218,內容_tfidf_22,內容_tfidf_220,內容_tfidf_223,內容_tfidf_227,內容_tfidf_228,內容_tfidf_23,內容_tfidf_231,內容_tfidf_24,內容_tfidf_240,內容_tfidf_242,內容_tfidf_25,內容_tfidf_26,內容_tfidf_27,內容_tfidf_28,內容_tfidf_29,內容_tfidf_30,內容_tfidf_31,內容_tfidf_32,內容_tfidf_33,內容_tfidf_34,內容_tfidf_35,內容_tfidf_36,內容_tfidf_37,內容_tfidf_38,內容_tfidf_39,內容_tfidf_40,內容_tfidf_41,內容_tfidf_42,內容_tfidf_43,內容_tfidf_44,內容_tfidf_45,內容_tfidf_46,內容_tfidf_47,內容_tfidf_48,內容_tfidf_49,內容_tfidf_50,內容_tfidf_51,內容_tfidf_52,內容_tfidf_53,內容_tfidf_54,內容_tfidf_55,內容_tfidf_56,內容_tfidf_57,內容_tfidf_58,內容_tfidf_59,內容_tfidf_61,內容_tfidf_64,內容_tfidf_71,內容_tfidf_72,內容_tfidf_73,內容_tfidf_77,內容_tfidf_78,內容_tfidf_79,內容_tfidf_com,內容_tfidf_https,內容_tfidf_imgur,內容_tfidf_wrote,內容_tfidf_恕刪,內容_tfidf_笑死,內容_tfidf_謝謝分享,異常_IF分數,異常_OCSVM分數
Chaser1482,1,0,63,0,0,False,True,False,False,False,0.0,0.0,0.0,0.3571026042665314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40824051399224043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5176419462785538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6617131011355021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1
pumayao,1,0,61,0,0,False,True,False,False,False,0.0,0.0,0.0,0.43668807147232414,0.0,0.0,0.5272976636135625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4992228021363946,0.0,0.0,0.531071836956684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1
推 kkexam,1,0,77,0,0,False,True,False,False,False,0.0,0.0,0.4674151110742696,0.0,0.0,0.0,0.0,0.5111961166373941,0.0,0.0,0.4894085247259423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5297932995044887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
推 silver0314,1,0,71,0,0,False,True,False,False,False,0.0,0.0,0.0,0.42288599258172527,0.0,0.0,0.0,0.0,0.0,0.0,0.4653907868455541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5595535521063698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.539887650463121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
推 nanababa,1,0,101,0,0,False,False,False,False,True,0.0,0.0,0.32912407823576745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4084327836684877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4733284566454987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44797827535970103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5478463646731673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
推 Fcup,1,0,121,0,0,False,False,False,False,True,0.0,0.0,0.28320520761819995,0.0,0.2819936421161034,0.0,0.0,0.0,0.0,0.0,0.2965309412795262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5537055996237377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556622175045516,0.0,0.0,0.0,0.0,0.0,0.0,0.3686809735270064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1
Fcup,1,0,91,0,0,False,False,False,False,True,0.0,0.0,0.28320520761819995,0.0,0.2819936421161034,0.0,0.0,0.0,0.0,0.0,0.2965309412795262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5537055996237377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556622175045516,0.0,0.0,0.0,0.0,0.0,0.0,0.3686809735270064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
推 red6mmo,1,0,97,0,0,False,False,False,False,True,0.0,0.0,0.275079785400198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34002697024130923,0.0,0.2991961917238506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46170018886446196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3581031716608432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48016595707104504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3837057697633093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
ebbian11,1,0,95,0,0,False,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3611608607056441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36186763004827105,0.0,0.0,0.0,0.0,0.0,0.0,0.4263699484757535,0.0,0.0,0.39096295707613726,0.0,0.0,0.0,0.0,0.37052588099131994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5164124860654301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
jo6su65j,1,0,99,0,0,False,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2871134102376096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2876752733249235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31727871534339513,0.5052819679020365,0.0,0.0,0.0,0.0,0.0,0.0,0.4655494748601138,0.0,0.3402872169463524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3824937554034435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
